type,entry,sl,tp,profit,balance,result,time,hour,session
SELL,4308.754,4316.477610473499,4277.859558106003,-3.1009671440494873,1030.554747539113,LOSS,2025-12-31 20:54:00,20,NewYork
BUY,4315.872,4315.872,4333.796932371745,12.366656970469355,1042.9214045095823,WIN,2025-12-31 21:41:00,21,NewYork
SELL,4348.503,4348.503,4342.518292801934,0.0,1042.9214045095823,BE,2026-01-02 01:19:00,1,Tokyo
BUY,4349.9259999999995,4347.754338964817,4358.612644140729,-3.128764213528747,1039.7926402960536,LOSS,2026-01-02 01:35:00,1,Tokyo
SELL,4346.663,4349.677399093056,4334.605403627774,-3.119377920888161,1036.6732623751655,LOSS,2026-01-02 01:42:00,1,Tokyo
BUY,4352.314,4347.705943851108,4370.74622459557,-3.110019787125496,1033.5632425880399,LOSS,2026-01-02 01:50:00,1,Tokyo
SELL,4347.827,4350.135304685584,4338.593781257666,-3.1006897277641197,1030.4625528602758,LOSS,2026-01-02 02:10:00,2,Tokyo
BUY,4351.911,4351.911,4370.97910305563,12.36555063432331,1042.828103494599,WIN,2026-01-02 02:38:00,2,Tokyo
SELL,4371.85,4374.442365869509,4361.480536521967,-3.1284843104837976,1039.6996191841151,LOSS,2026-01-02 04:58:00,4,Tokyo
BUY,4377.695,4372.606916030076,4398.047335879695,-3.1190988575523453,1036.5805203265627,LOSS,2026-01-02 05:09:00,5,Tokyo
SELL,4375.389,4378.891150129431,4361.380399482278,-3.109741560979688,1033.470778765583,LOSS,2026-01-02 06:09:00,6,Tokyo
BUY,4379.897,4376.47255373302,4393.594785067921,-3.100412336296749,1030.3703664292862,LOSS,2026-01-02 06:30:00,6,Tokyo
SELL,4375.644,4378.440696683927,4364.457213264293,-3.0911110992878585,1027.2792553299983,LOSS,2026-01-02 06:41:00,6,Tokyo
BUY,4379.103,4379.103,4398.60786770261,12.327351063959979,1039.6066063939581,WIN,2026-01-02 07:35:00,7,London
SELL,4383.687,4389.375199906972,4360.934200372112,-3.1188198191818746,1036.4877865747762,LOSS,2026-01-02 09:23:00,9,London
BUY,4388.8279999999995,4387.158472911613,4395.506108353546,-3.109463359724329,1033.378323215052,LOSS,2026-01-02 09:46:00,9,London
SELL,4386.558,4389.1694042214585,4376.112383114166,-3.100134969645156,1030.278188245407,LOSS,2026-01-02 09:57:00,9,London
BUY,4389.912,4386.865061460838,4402.09975415665,-3.090834564736221,1027.1873536806706,LOSS,2026-01-02 10:22:00,10,London
SELL,4386.539,4388.78388338229,4377.55946647084,-3.0815620610420122,1024.1057916196287,LOSS,2026-01-02 10:30:00,10,London
BUY,4390.84,4390.84,4406.593317705225,0.0,1024.1057916196287,BE,2026-01-02 10:37:00,10,London
SELL,4391.91,4395.714925691216,4376.6902972351345,-3.072317374858886,1021.0334742447698,LOSS,2026-01-02 11:38:00,11,London
BUY,4397.36,4392.897787633405,4415.208849466379,-3.0631004227343093,1017.9703738220354,LOSS,2026-01-02 12:11:00,12,London
SELL,4393.927,4393.927,4387.623131721561,12.215644485864425,1030.1860183078998,WIN,2026-01-02 12:35:00,12,London
BUY,4397.047,4391.13595389398,4420.691184424079,-3.0905580549236995,1027.095460252976,LOSS,2026-01-02 13:04:00,13,London
SELL,4381.501,4381.501,4329.0122635464395,12.325145523035712,1039.4206057760116,WIN,2026-01-02 13:25:00,13,London
BUY,4328.452,4324.442188713505,4344.491245145981,-3.118261817328035,1036.3023439586837,LOSS,2026-01-02 17:03:00,17,NewYork
