<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.16	00:00:00	1557.594	1560.771	1451.281	1507.227	242692	0	0
2020.03.17	00:00:00	1507.234	1553.769	1465.592	1537.770	190614	0	0
2020.03.18	00:00:00	1537.790	1539.831	1472.753	1498.045	213560	0	0
2020.03.19	00:00:00	1498.087	1498.644	1455.292	1471.367	166361	0	0
2020.03.20	00:00:00	1471.350	1515.982	1471.017	1498.718	130877	0	0
2020.03.22	00:00:00	1502.200	1507.935	1482.773	1491.601	12432	0	0
2020.03.23	00:00:00	1491.591	1567.641	1485.073	1567.125	141803	0	0
2020.03.24	00:00:00	1567.119	1638.710	1558.059	1630.231	61842	0	0
2020.03.25	00:00:00	1629.614	1632.399	1598.777	1608.588	18564	0	0
2020.03.26	00:00:00	1608.457	1642.597	1596.568	1625.064	17074	0	0
2020.03.27	00:00:00	1625.069	1629.120	1613.848	1625.141	16798	0	0
2020.03.29	00:00:00	1628.767	1630.463	1619.009	1627.402	1333	0	0
2020.03.30	00:00:00	1626.567	1628.193	1610.999	1616.282	34788	0	0
2020.03.31	00:00:00	1616.122	1618.266	1569.398	1578.851	50841	0	0
2020.04.01	00:00:00	1578.950	1598.554	1572.348	1591.344	48128	0	0
2020.04.02	00:00:00	1591.250	1618.812	1582.649	1612.275	55582	0	0
2020.04.03	00:00:00	1612.393	1624.359	1606.445	1616.414	51412	0	0
2020.04.05	00:00:00	1613.913	1618.872	1608.502	1618.872	2362	0	0
2020.04.06	00:00:00	1618.700	1671.974	1615.368	1662.321	49668	0	0
2020.04.07	00:00:00	1662.287	1666.946	1642.945	1648.147	43937	0	0
2020.04.08	00:00:00	1648.159	1655.349	1642.134	1647.139	43567	0	0
2020.04.09	00:00:00	1647.131	1689.434	1645.858	1682.950	70482	0	0
2020.04.12	00:00:00	1684.492	1691.295	1683.877	1686.825	2623	0	0
2020.04.13	00:00:00	1686.633	1722.216	1679.814	1717.283	72932	0	0
2020.04.14	00:00:00	1717.168	1746.584	1708.627	1725.549	87688	0	0
2020.04.15	00:00:00	1725.547	1730.657	1707.520	1715.654	86286	0	0
2020.04.16	00:00:00	1715.828	1738.091	1702.256	1715.150	111398	0	0
2020.04.17	00:00:00	1715.137	1717.949	1679.205	1683.655	108710	0	0
2020.04.19	00:00:00	1682.777	1683.185	1673.878	1675.506	4793	0	0
2020.04.20	00:00:00	1675.538	1701.963	1671.308	1690.808	100694	0	0
2020.04.21	00:00:00	1690.812	1697.277	1660.381	1687.417	100186	0	0
2020.04.22	00:00:00	1687.625	1718.218	1679.697	1711.447	114161	0	0
2020.04.23	00:00:00	1711.452	1738.308	1706.644	1727.918	135293	0	0
2020.04.24	00:00:00	1727.925	1736.069	1710.080	1727.930	108651	0	0
2020.04.26	00:00:00	1721.908	1725.615	1718.882	1724.978	4645	0	0
2020.04.27	00:00:00	1724.975	1726.275	1705.658	1709.572	98362	0	0
2020.04.28	00:00:00	1709.351	1713.601	1691.664	1704.711	127143	0	0
2020.04.29	00:00:00	1704.444	1716.769	1697.500	1713.271	105334	0	0
2020.04.30	00:00:00	1713.130	1721.174	1680.724	1687.709	96500	0	0
2020.05.01	00:00:00	1687.443	1705.106	1670.206	1700.028	128675	0	0
2020.05.03	00:00:00	1698.504	1699.649	1691.615	1699.269	5005	0	0
2020.05.04	00:00:00	1699.123	1711.094	1694.748	1703.549	95624	0	0
2020.05.05	00:00:00	1703.562	1711.345	1691.468	1703.800	92800	0	0
2020.05.06	00:00:00	1703.838	1707.818	1681.890	1689.582	87714	0	0
2020.05.07	00:00:00	1689.678	1721.793	1684.097	1714.229	85572	0	0
2020.05.08	00:00:00	1714.234	1722.819	1701.361	1702.329	87497	0	0
2020.05.10	00:00:00	1702.072	1707.454	1701.274	1706.479	5600	0	0
2020.05.11	00:00:00	1706.472	1712.031	1686.421	1697.717	86071	0	0
2020.05.12	00:00:00	1697.759	1710.515	1693.297	1702.424	80866	0	0
2020.05.13	00:00:00	1702.351	1719.371	1698.868	1718.317	90848	0	0
2020.05.14	00:00:00	1718.287	1736.005	1710.464	1732.716	84064	0	0
2020.05.15	00:00:00	1732.708	1750.930	1728.336	1741.974	86012	0	0
2020.05.17	00:00:00	1747.441	1759.776	1743.217	1758.137	8823	0	0
2020.05.18	00:00:00	1758.060	1764.715	1726.823	1734.704	89522	0	0
2020.05.19	00:00:00	1734.711	1747.382	1725.316	1745.970	84501	0	0
2020.05.20	00:00:00	1745.978	1753.684	1742.035	1747.365	81235	0	0
2020.05.21	00:00:00	1747.470	1747.470	1716.751	1725.824	83723	0	0
2020.05.22	00:00:00	1725.953	1739.314	1724.152	1734.060	72154	0	0
2020.05.24	00:00:00	1731.595	1733.303	1729.697	1730.676	3100	0	0
2020.05.25	00:00:00	1730.682	1732.456	1721.355	1726.560	45906	0	0
2020.05.26	00:00:00	1726.542	1735.055	1708.228	1712.678	78402	0	0
2020.05.27	00:00:00	1712.658	1715.746	1693.423	1710.852	80630	0	0
2020.05.28	00:00:00	1710.856	1727.014	1708.767	1721.686	79946	0	0
2020.05.29	00:00:00	1721.660	1737.277	1712.361	1729.475	84120	0	0
2020.05.31	00:00:00	1733.361	1740.011	1731.502	1739.611	5255	0	0
2020.06.01	00:00:00	1739.507	1744.323	1726.812	1741.504	85179	0	0
